Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,809,Research & Development,16,Bachelors,Medical,Low,Male,84,Very high,Fresher,Laboratory Technician,Medium,Married,2426,16479,0,No,13,Excellent,Excellent,1,6,5,Better,5,4,0,3
29,No,Travel_Rarely,153,Research & Development,15,Intermediate,Life Sciences,Very high,Female,49,Medium,Junior,Laboratory Technician,High,Single,4193,12682,0,Yes,12,Excellent,Outstanding,0,10,3,Better,9,5,0,8
31,No,Travel_Rarely,670,Research & Development,26,Schooling,Life Sciences,Low,Male,31,High,Fresher,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,Outstanding,1,5,1,Good,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,Intermediate,Medical,Medium,Male,93,High,Fresher,Laboratory Technician,Very high,Divorced,2661,8758,0,No,11,Excellent,Excellent,1,3,2,Better,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,Bachelors,Life Sciences,High,Male,50,Medium,Fresher,Laboratory Technician,High,Single,2028,12947,5,Yes,14,Excellent,Good,0,6,4,Better,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,Masters,Life Sciences,Medium,Female,51,Very high,Senior,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,Excellent,Excellent,1,10,1,Better,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,Intermediate,Life Sciences,Low,Male,80,Very high,Fresher,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,Excellent,Outstanding,2,7,5,Good,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,Intermediate,Medical,Very high,Male,96,Very high,Fresher,Laboratory Technician,Very high,Divorced,2935,7324,1,Yes,13,Excellent,Good,2,1,2,Good,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,Masters,Life Sciences,Low,Female,78,Medium,Team Lead,Manager,Very high,Married,15427,22021,2,No,16,Excellent,Excellent,0,31,3,Better,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,Bachelors,Life Sciences,Very high,Male,45,High,Fresher,Research Scientist,Very high,Single,3944,4306,5,Yes,11,Excellent,Excellent,0,6,3,Better,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,Intermediate,Other,Low,Female,96,Very high,Junior,Manufacturing Director,High,Divorced,4011,8232,0,No,18,Excellent,Outstanding,1,5,5,Good,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,Masters,Life Sciences,High,Male,82,Medium,Fresher,Sales Representative,Low,Single,3407,6986,7,No,23,Outstanding,Good,0,10,4,Better,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,Masters,Life Sciences,Low,Female,53,High,Senior,Research Director,Medium,Single,11994,21293,0,No,11,Excellent,Excellent,0,13,4,Better,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,Intermediate,Life Sciences,High,Male,96,High,Fresher,Research Scientist,Very high,Single,1232,19281,1,No,14,Excellent,Outstanding,0,0,6,Better,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,Schooling,Medical,Medium,Male,83,High,Fresher,Research Scientist,Low,Single,2960,17102,2,No,11,Excellent,Excellent,0,8,2,Better,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,Bachelors,Other,High,Female,58,High,Manager,Manager,High,Divorced,19094,10735,4,No,11,Excellent,Outstanding,1,26,3,Good,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,Schooling,Life Sciences,Medium,Female,72,Low,Fresher,Research Scientist,Low,Single,3919,4681,1,Yes,22,Outstanding,Good,0,10,5,Better,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,Masters,Marketing,High,Male,48,High,Junior,Sales Executive,Medium,Married,6825,21173,0,No,11,Excellent,Outstanding,1,10,2,Better,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,Masters,Medical,Low,Female,42,Medium,Senior,Healthcare Representative,Very high,Married,10248,2094,3,No,14,Excellent,Outstanding,1,24,4,Better,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,Masters,Marketing,Medium,Female,83,High,Manager,Manager,Low,Single,18947,22822,3,No,12,Excellent,Outstanding,0,22,2,Good,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,Bachelors,Medical,High,Male,78,High,Fresher,Laboratory Technician,Very high,Single,2496,6670,4,No,11,Excellent,Outstanding,0,7,3,Better,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,Masters,Other,Very high,Male,41,High,Junior,Healthcare Representative,Very high,Married,6465,19121,2,Yes,13,Excellent,Outstanding,0,9,5,Best,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,Intermediate,Medical,Very high,Male,83,Medium,Fresher,Laboratory Technician,High,Single,2206,16117,1,No,13,Excellent,Poor,0,10,5,Better,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,Bachelors,Technical Degree,Very high,Male,56,High,Junior,Sales Representative,Very high,Married,2086,3335,3,No,14,Excellent,Excellent,1,19,6,Best,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,Bachelors,Medical,Medium,Male,61,High,Fresher,Research Scientist,Very high,Married,2293,3020,2,Yes,16,Excellent,Poor,1,6,2,Good,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,Intermediate,Medical,Very high,Female,72,Very high,Fresher,Research Scientist,High,Divorced,2645,21923,1,No,12,Excellent,Outstanding,2,6,3,Good,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,Intermediate,Marketing,Low,Male,86,Medium,Fresher,Sales Representative,High,Married,2683,3810,1,Yes,14,Excellent,Excellent,0,3,2,Better,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,Bachelors,Marketing,Very high,Female,97,High,Fresher,Sales Representative,Very high,Married,2014,9687,1,No,13,Excellent,Poor,0,2,3,Better,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,Masters,Life Sciences,Medium,Female,82,Medium,Fresher,Research Scientist,Low,Married,3419,13072,9,Yes,14,Excellent,Outstanding,1,6,3,Best,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,Bachelors,Life Sciences,High,Female,42,Very high,Junior,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,Poor,2,10,3,Better,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,Intermediate,Other,High,Male,75,High,Fresher,Laboratory Technician,Very high,Divorced,1951,10910,1,No,12,Excellent,Excellent,1,1,3,Better,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,Masters,Life Sciences,Very high,Female,33,High,Fresher,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Excellent,Outstanding,1,1,6,Better,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelors,Life Sciences,Low,Male,48,Low,Fresher,Laboratory Technician,High,Single,2293,10558,1,No,12,Excellent,Excellent,0,1,2,Good,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,Bachelors,Life Sciences,Very high,Male,37,High,Senior,Sales Executive,High,Single,8726,2975,1,No,15,Excellent,Outstanding,0,9,0,Better,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,Intermediate,Medical,High,Female,58,High,Junior,Laboratory Technician,Very high,Single,4011,10781,1,No,23,Outstanding,Outstanding,0,12,2,Better,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelors,Technical Degree,Medium,Female,49,High,Manager,Research Director,High,Married,19545,16280,1,No,12,Excellent,Outstanding,0,23,0,Better,22,15,15,8
34,No,Non-Travel,1065,Sales,23,Masters,Marketing,Medium,Male,72,High,Junior,Sales Executive,High,Single,4568,10034,0,No,20,Outstanding,Excellent,0,10,2,Better,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,Intermediate,Life Sciences,Medium,Male,73,High,Fresher,Research Scientist,Medium,Married,3022,10227,4,No,21,Outstanding,Poor,0,8,1,Better,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,Masters,Marketing,Low,Male,98,High,Junior,Sales Executive,Very high,Single,5772,20445,4,Yes,21,Outstanding,Excellent,0,14,4,Better,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,Schooling,Life Sciences,Very high,Male,36,Very high,Fresher,Laboratory Technician,Very high,Married,2269,4892,1,No,19,Excellent,Outstanding,0,1,2,Better,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,Intermediate,Life Sciences,Low,Male,98,Medium,Senior,Laboratory Technician,High,Single,5381,19294,9,Yes,13,Excellent,Outstanding,0,23,2,Better,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,Masters,Technical Degree,High,Male,50,High,Fresher,Laboratory Technician,High,Single,3441,11179,1,Yes,13,Excellent,Excellent,0,2,3,Good,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,PhD,Marketing,Medium,Female,75,High,Junior,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Outstanding,Excellent,1,9,2,Good,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,Intermediate,Medical,High,Male,79,Medium,Senior,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Excellent,Excellent,1,10,3,Better,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,Bachelors,Marketing,High,Female,47,Medium,Junior,Sales Executive,Very high,Married,4157,21436,7,Yes,19,Excellent,Excellent,1,5,2,Good,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,Intermediate,Life Sciences,Low,Female,98,High,Senior,Research Director,Very high,Single,13458,15146,1,Yes,12,Excellent,Excellent,0,15,1,Better,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,PhD,Life Sciences,Medium,Male,71,High,Senior,Sales Executive,Low,Married,9069,11031,1,No,22,Outstanding,Outstanding,1,9,3,Good,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,Masters,Medical,High,Female,30,High,Fresher,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Excellent,Excellent,1,4,3,Better,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,Masters,Life Sciences,Very high,Male,48,High,Junior,Laboratory Technician,Very high,Divorced,5915,9528,3,No,22,Outstanding,Outstanding,1,10,3,Good,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,Masters,Life Sciences,Low,Male,51,Medium,Junior,Manufacturing Director,High,Divorced,5993,2689,1,No,18,Excellent,Excellent,1,7,2,Best,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,Bachelors,Medical,Low,Male,33,High,Junior,Manufacturing Director,Very high,Married,6162,10877,1,Yes,22,Outstanding,Good,1,9,3,Better,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,PhD,Life Sciences,Very high,Female,50,High,Junior,Laboratory Technician,Very high,Single,2406,5456,1,No,11,Excellent,Outstanding,0,10,2,Better,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,Intermediate,Medical,Medium,Female,43,Medium,Manager,Research Director,High,Divorced,18740,16701,5,Yes,12,Excellent,Outstanding,1,29,2,Good,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,Bachelors,Life Sciences,Low,Female,99,High,Senior,Sales Executive,Low,Single,7637,2354,7,No,11,Excellent,Outstanding,0,28,3,Good,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,Bachelors,Technical Degree,High,Female,59,High,Senior,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Excellent,Good,3,17,2,Better,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,Bachelors,Medical,Very high,Female,33,High,Team Lead,Manager,High,Divorced,14756,19730,2,Yes,14,Excellent,Excellent,3,21,2,Better,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,Bachelors,Life Sciences,Medium,Male,95,Medium,Junior,Manufacturing Director,Medium,Single,6499,22656,1,No,13,Excellent,Excellent,0,6,3,Better,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,Bachelors,Life Sciences,Medium,Male,59,High,Senior,Research Scientist,Low,Divorced,9724,18787,2,No,17,Excellent,Excellent,1,25,2,Better,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,Bachelors,Medical,Medium,Male,79,High,Fresher,Research Scientist,Low,Married,2194,5868,4,No,13,Excellent,Outstanding,1,5,2,Good,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,Bachelors,Medical,Very high,Male,79,Medium,Fresher,Research Scientist,High,Married,3388,21777,0,Yes,17,Excellent,Poor,1,2,0,Good,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,Schooling,Life Sciences,Low,Female,57,Medium,Junior,Sales Executive,High,Single,5473,24668,7,No,11,Excellent,Outstanding,0,20,2,Good,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,Bachelors,Life Sciences,High,Male,76,High,Fresher,Research Scientist,Medium,Married,2703,4956,0,No,23,Outstanding,Outstanding,1,6,3,Better,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,Masters,Medical,High,Male,87,High,Fresher,Research Scientist,Medium,Single,2501,18775,1,No,17,Excellent,Good,0,1,4,Better,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,Bachelors,Life Sciences,Medium,Male,66,High,Junior,Research Scientist,Medium,Married,6220,7346,1,No,17,Excellent,Good,2,10,3,Better,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,Bachelors,Life Sciences,Medium,Female,55,Very high,Fresher,Laboratory Technician,Very high,Married,3038,22002,3,No,12,Excellent,Good,0,5,3,Better,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,Masters,Life Sciences,High,Female,61,High,Junior,Manufacturing Director,Very high,Single,4424,20682,1,No,23,Outstanding,Outstanding,0,11,2,Better,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,Masters,Marketing,High,Male,32,Medium,Junior,Sales Executive,Low,Single,4312,23016,0,No,14,Excellent,Good,0,16,2,Better,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,Masters,Other,Very high,Male,52,High,Senior,Research Director,Low,Married,13245,15067,4,Yes,14,Excellent,Good,0,17,3,Best,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,Masters,Medical,Low,Male,30,High,Senior,Research Director,High,Single,13664,25258,4,No,13,Excellent,Poor,0,16,3,Best,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,Intermediate,Medical,Medium,Male,80,High,Junior,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Outstanding,Outstanding,1,16,2,Better,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,Schooling,Life Sciences,Very high,Male,55,Medium,Junior,Laboratory Technician,Very high,Married,5126,15998,1,Yes,12,Excellent,Excellent,2,10,1,Good,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,Bachelors,Medical,Medium,Male,30,Medium,Fresher,Research Scientist,High,Single,2859,26278,1,No,18,Excellent,Poor,0,6,3,Better,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,Intermediate,Life Sciences,Low,Male,70,High,Senior,Sales Executive,Very high,Married,10239,18092,3,No,14,Excellent,Outstanding,1,24,4,Better,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,Bachelors,Medical,Medium,Female,79,Low,Junior,Research Scientist,Very high,Divorced,5329,15717,7,Yes,12,Excellent,Outstanding,3,17,3,Better,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,Intermediate,Medical,Low,Male,94,High,Junior,Manufacturing Director,Medium,Married,4325,17736,1,No,15,Excellent,Excellent,0,5,2,Better,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,Bachelors,Life Sciences,Very high,Male,49,Low,Senior,Manufacturing Director,Very high,Single,7260,21698,4,No,11,Excellent,Poor,0,37,3,Good,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,Schooling,Technical Degree,High,Male,62,High,Fresher,Sales Representative,Low,Divorced,2322,9518,3,No,13,Excellent,Excellent,1,3,3,Better,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,Masters,Life Sciences,Very high,Male,96,High,Fresher,Laboratory Technician,Very high,Married,2075,18725,3,No,23,Outstanding,Good,2,10,4,Better,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,Bachelors,Life Sciences,High,Male,99,Medium,Junior,Healthcare Representative,Very high,Married,4152,15830,1,No,19,Excellent,Poor,3,11,3,Better,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,Intermediate,Medical,High,Male,64,Medium,Senior,Sales Executive,Very high,Single,9619,13596,1,No,16,Excellent,Outstanding,0,9,3,Better,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,Masters,Life Sciences,High,Male,78,Medium,Team Lead,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Outstanding,Outstanding,1,22,3,Good,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,Masters,Marketing,High,Male,71,High,Junior,Sales Executive,Very high,Single,5441,8423,0,Yes,22,Outstanding,Outstanding,0,11,2,Poor,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,Intermediate,Medical,High,Female,63,Medium,Junior,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,Excellent,Good,3,11,4,Good,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,Bachelors,Medical,High,Male,40,Medium,Senior,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Excellent,Excellent,1,21,5,Good,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,Masters,Medical,Medium,Male,87,High,Junior,Sales Executive,High,Single,5010,24301,1,No,16,Excellent,Poor,0,12,0,Better,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,Masters,Technical Degree,Low,Female,60,High,Senior,Research Director,High,Married,13549,24001,9,No,12,Excellent,Poor,1,16,5,Poor,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,Intermediate,Other,Low,Female,33,High,Junior,Sales Executive,High,Married,4999,17519,0,No,21,Outstanding,Poor,1,4,2,Good,3,2,0,2
28,No,Non-Travel,120,Sales,4,Bachelors,Medical,Medium,Male,43,High,Junior,Sales Executive,High,Married,4221,8863,1,No,15,Excellent,Good,0,5,3,Best,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,Masters,Medical,Very high,Male,37,High,Team Lead,Sales Executive,High,Single,13872,24409,0,No,13,Excellent,Excellent,0,38,1,Good,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,Bachelors,Medical,Medium,Male,67,High,Junior,Laboratory Technician,Medium,Married,2042,25043,4,No,12,Excellent,Excellent,1,17,3,Best,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,Masters,Human Resources,High,Male,63,High,Fresher,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Outstanding,Outstanding,0,7,3,Better,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,Schooling,Life Sciences,Very high,Male,71,High,Fresher,Research Scientist,Low,Single,2956,15178,1,No,13,Excellent,Outstanding,0,1,2,Better,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,Bachelors,Life Sciences,Very high,Female,66,Medium,Fresher,Laboratory Technician,Very high,Single,2926,19783,1,Yes,18,Excellent,Good,0,1,5,Better,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,Masters,Other,Low,Female,41,High,Junior,Research Scientist,High,Single,4809,12482,1,No,14,Excellent,Excellent,0,16,3,Better,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,Intermediate,Life Sciences,High,Male,100,Medium,Junior,Healthcare Representative,Very high,Divorced,5163,15850,5,No,14,Excellent,Outstanding,1,17,2,Best,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,Masters,Human Resources,High,Female,32,Medium,Manager,Manager,Very high,Married,18844,21922,9,No,21,Outstanding,Outstanding,1,30,3,Better,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,Bachelors,Life Sciences,Low,Female,73,High,Manager,Research Director,Medium,Married,18172,9755,3,Yes,19,Excellent,Poor,0,28,1,Good,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,Bachelors,Marketing,High,Male,46,Medium,Junior,Sales Executive,High,Single,5744,26959,1,Yes,11,Excellent,Outstanding,0,6,1,Better,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,Schooling,Medical,Very high,Male,64,Medium,Fresher,Research Scientist,Very high,Married,2889,26897,1,No,11,Excellent,Excellent,2,2,2,Better,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,Bachelors,Medical,Medium,Female,59,High,Fresher,Laboratory Technician,Very high,Single,2871,23785,1,No,15,Excellent,Excellent,0,1,5,Better,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,Masters,Medical,Low,Female,30,Medium,Senior,Healthcare Representative,Low,Single,7484,25796,3,No,20,Outstanding,Excellent,0,23,1,Good,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,Bachelors,Life Sciences,Low,Male,66,Low,Junior,Laboratory Technician,High,Single,6074,22887,1,Yes,24,Outstanding,Outstanding,0,9,3,Better,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,Bachelors,Human Resources,Very high,Female,30,Very high,Team Lead,Manager,Very high,Single,17328,13871,2,Yes,12,Excellent,Excellent,0,23,3,Better,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,Schooling,Life Sciences,Medium,Male,52,High,Fresher,Laboratory Technician,High,Married,2774,13257,0,No,12,Excellent,Excellent,1,6,2,Better,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,Masters,Life Sciences,High,Female,45,Medium,Junior,Research Scientist,Medium,Divorced,4505,15000,6,No,15,Excellent,Excellent,1,12,3,Better,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,Bachelors,Life Sciences,High,Male,87,High,Senior,Sales Executive,Very high,Single,7428,14506,2,No,12,Excellent,Poor,0,12,3,Better,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,Bachelors,Medical,High,Female,45,Medium,Senior,Manager,Low,Single,11631,5615,2,No,12,Excellent,Outstanding,0,14,6,Better,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,Intermediate,Technical Degree,Medium,Female,92,High,Senior,Sales Executive,Very high,Married,9738,22952,0,No,14,Excellent,Excellent,1,10,6,Better,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,Intermediate,Life Sciences,Low,Female,39,High,Fresher,Laboratory Technician,Very high,Divorced,2835,2561,5,No,22,Outstanding,Poor,1,7,2,Better,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,Intermediate,Life Sciences,High,Male,92,High,Team Lead,Manager,Very high,Married,16959,19494,1,Yes,12,Excellent,Outstanding,2,25,3,Best,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,Bachelors,Life Sciences,Low,Male,96,Low,Fresher,Research Scientist,High,Divorced,2613,22310,1,No,25,Outstanding,Excellent,3,10,2,Good,10,7,0,9
33,No,Non-Travel,750,Sales,22,Intermediate,Marketing,High,Male,95,High,Junior,Sales Executive,Medium,Married,6146,15480,0,No,13,Excellent,Poor,1,8,2,Best,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,Masters,Life Sciences,Medium,Female,72,High,Fresher,Research Scientist,Medium,Married,4963,4510,9,Yes,18,Excellent,Poor,3,7,2,Better,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,Bachelors,Life Sciences,Low,Male,51,High,Manager,Research Director,High,Single,19537,6462,7,No,13,Excellent,Excellent,0,23,5,Better,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,Masters,Life Sciences,Medium,Male,76,Low,Junior,Sales Executive,High,Married,6172,20739,4,Yes,18,Excellent,Good,0,12,3,Good,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,Bachelors,Other,High,Female,46,Medium,Fresher,Research Scientist,Medium,Married,2368,23300,1,No,19,Excellent,Excellent,0,5,3,Good,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,Masters,Medical,Very high,Female,94,High,Senior,Healthcare Representative,Very high,Married,10312,3465,1,No,12,Excellent,Outstanding,1,40,3,Good,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,Schooling,Marketing,Very high,Male,50,High,Fresher,Sales Representative,High,Single,1675,26820,1,Yes,19,Excellent,Outstanding,0,0,2,Good,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,Schooling,Technical Degree,High,Male,100,High,Fresher,Laboratory Technician,Very high,Married,2523,19299,0,No,14,Excellent,Excellent,1,3,2,Better,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,Masters,Medical,High,Female,96,High,Junior,Manufacturing Director,Low,Married,6567,5549,1,No,14,Excellent,Excellent,0,16,2,Good,15,11,5,11
